,prev_file,filename,cell_type,xmin,xmax,ymin,ymax
3791,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00009.jpg,281.jpg,RBC,305,401,213,300
1073,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00005.jpg,76.jpg,RBC,466,570,337,465
3220,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00343.jpg,238.jpg,RBC,132,201,22,145
559,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00046.jpg,42.jpg,RBC,1,109,417,480
609,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00031.jpg,44.jpg,RBC,407,493,193,269
2712,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00255.jpg,196.jpg,RBC,1,75,317,426
1891,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00359.jpg,135.jpg,RBC,224,327,18,124
4720,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00209.jpg,351.jpg,RBC,551,634,110,194
3296,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00019.jpg,244.jpg,RBC,373,476,150,243
4429,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00169.jpg,330.jpg,RBC,71,179,1,82
738,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00168.jpg,53.jpg,RBC,503,609,75,180
2754,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00400.jpg,199.jpg,RBC,219,327,325,425
3788,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00009.jpg,281.jpg,WBC,23,255,137,423
2590,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00403.jpg,186.jpg,RBC,78,183,368,449
3932,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00379.jpg,291.jpg,RBC,501,616,301,401
2725,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00210.jpg,197.jpg,RBC,466,589,85,187
4155,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00204.jpg,310.jpg,RBC,37,139,142,256
237,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00288.jpg,19.jpg,RBC,305,407,1,79
4577,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00120.jpg,341.jpg,RBC,354,480,277,393
1839,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00109.jpg,131.jpg,RBC,37,151,148,237
3974,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00315.jpg,294.jpg,WBC,250,487,343,480
4499,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00397.jpg,335.jpg,RBC,456,560,3,111
1601,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00059.jpg,112.jpg,RBC,47,167,95,186
3590,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00156.jpg,265.jpg,Platelets,71,102,76,104
4043,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00208.jpg,300.jpg,Platelets,122,157,13,52
2783,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00276.jpg,202.jpg,RBC,143,243,95,213
224,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00288.jpg,19.jpg,RBC,420,522,126,223
3609,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00382.jpg,267.jpg,RBC,125,231,217,322
890,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00348.jpg,62.jpg,RBC,335,445,273,366
1755,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00222.jpg,125.jpg,RBC,397,512,120,236
3394,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00242.jpg,252.jpg,RBC,559,640,212,311
4342,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00218.jpg,324.jpg,RBC,32,153,194,313
1548,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00272.jpg,109.jpg,RBC,37,137,402,480
3333,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00016.jpg,247.jpg,RBC,66,160,155,276
2763,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00256.jpg,200.jpg,RBC,1,110,85,175
3629,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00161.jpg,268.jpg,RBC,305,413,310,405
606,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00031.jpg,44.jpg,RBC,1,91,65,160
3798,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00009.jpg,281.jpg,RBC,298,435,85,211
291,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00126.jpg,23.jpg,RBC,252,359,317,418
3797,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00009.jpg,281.jpg,RBC,214,331,107,198
2406,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00037.jpg,174.jpg,RBC,389,476,15,120
763,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00014.jpg,54.jpg,RBC,542,630,289,399
948,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00254.jpg,66.jpg,RBC,223,323,244,332
4639,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00097.jpg,345.jpg,RBC,205,302,369,480
1008,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00172.jpg,71.jpg,RBC,36,133,150,256
3099,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00177.jpg,228.jpg,RBC,542,640,259,383
2224,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00030.jpg,161.jpg,Platelets,405,447,86,132
4206,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00198.jpg,314.jpg,RBC,309,439,116,226
269,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00377.jpg,22.jpg,RBC,238,333,215,310
3560,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00057.jpg,263.jpg,RBC,267,364,17,117
2669,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00229.jpg,192.jpg,RBC,33,165,201,293
2582,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00403.jpg,186.jpg,RBC,323,407,120,201
2999,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00162.jpg,218.jpg,RBC,162,272,197,305
3561,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00057.jpg,263.jpg,WBC,165,317,71,215
3441,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00219.jpg,255.jpg,RBC,454,537,304,390
1641,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00036.jpg,117.jpg,RBC,207,319,106,209
4806,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00103.jpg,358.jpg,RBC,305,404,43,129
987,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00369.jpg,69.jpg,RBC,388,499,43,117
879,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00348.jpg,62.jpg,RBC,214,310,350,453
544,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00333.jpg,41.jpg,RBC,498,603,257,361
497,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00290.jpg,38.jpg,RBC,329,439,360,459
3882,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00034.jpg,288.jpg,RBC,452,537,34,145
160,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00182.jpg,12.jpg,WBC,293,498,57,260
3145,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00164.jpg,232.jpg,RBC,423,520,336,453
487,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00113.jpg,37.jpg,RBC,84,193,366,442
773,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00089.jpg,55.jpg,RBC,308,426,403,480
2924,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00304.jpg,211.jpg,RBC,107,209,360,449
1551,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00272.jpg,109.jpg,RBC,184,259,184,308
246,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00314.jpg,20.jpg,RBC,256,360,257,341
2264,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00231.jpg,164.jpg,RBC,1,92,137,235
3058,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00130.jpg,224.jpg,RBC,203,311,310,440
1498,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00052.jpg,106.jpg,RBC,214,333,81,183
309,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00000.jpg,24.jpg,RBC,388,481,11,111
1923,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00225.jpg,139.jpg,RBC,46,152,335,438
2009,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00196.jpg,146.jpg,RBC,460,564,140,234
883,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00348.jpg,62.jpg,RBC,525,630,283,368
1401,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00112.jpg,99.jpg,RBC,430,525,243,337
564,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00046.jpg,42.jpg,RBC,519,607,209,300
530,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00179.jpg,40.jpg,RBC,557,640,202,307
4510,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00049.jpg,336.jpg,WBC,156,292,248,363
1608,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00059.jpg,112.jpg,RBC,512,619,416,480
3860,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00220.jpg,286.jpg,RBC,116,254,25,143
4168,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00332.jpg,311.jpg,RBC,269,379,104,222
891,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00348.jpg,62.jpg,RBC,569,640,195,286
3582,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00156.jpg,265.jpg,RBC,299,414,225,316
526,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00179.jpg,40.jpg,RBC,49,155,273,360
2419,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00037.jpg,174.jpg,RBC,95,208,224,330
4689,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00240.jpg,349.jpg,RBC,188,313,267,390
3423,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00139.jpg,254.jpg,RBC,258,368,225,333
1433,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00335.jpg,101.jpg,RBC,250,358,126,227
1346,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00247.jpg,96.jpg,RBC,479,584,22,118
1480,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00041.jpg,105.jpg,RBC,321,437,117,236
2035,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00028.jpg,148.jpg,RBC,203,306,308,409
1458,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00273.jpg,103.jpg,RBC,30,138,61,166
4017,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00081.jpg,299.jpg,RBC,299,415,60,162
1076,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00005.jpg,76.jpg,RBC,380,479,181,288
3151,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00164.jpg,232.jpg,RBC,455,593,69,184
703,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00317.jpg,51.jpg,RBC,390,501,1,113
2214,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00030.jpg,161.jpg,RBC,1,75,322,425
257,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00004.jpg,21.jpg,RBC,510,606,112,195
712,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00317.jpg,51.jpg,Platelets,427,482,140,192
1905,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00217.jpg,136.jpg,RBC,443,549,1,81
2404,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00037.jpg,174.jpg,RBC,520,607,33,138
1739,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00402.jpg,124.jpg,RBC,171,271,377,480
3408,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00033.jpg,253.jpg,RBC,219,289,287,407
3440,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00219.jpg,255.jpg,RBC,1,102,1,99
685,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00386.jpg,49.jpg,WBC,153,377,159,385
391,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00307.jpg,30.jpg,RBC,266,368,181,291
4421,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00169.jpg,330.jpg,RBC,137,246,259,369
784,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00367.jpg,56.jpg,RBC,345,429,178,283
1303,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00243.jpg,92.jpg,WBC,285,487,217,419
2198,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00086.jpg,160.jpg,RBC,191,302,55,184
642,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00289.jpg,47.jpg,RBC,180,273,281,386
1088,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00005.jpg,76.jpg,RBC,151,236,298,423
2558,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00248.jpg,184.jpg,RBC,462,578,222,326
213,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00180.jpg,17.jpg,WBC,173,387,1,131
1240,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00083.jpg,88.jpg,RBC,113,232,1,105
1991,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00265.jpg,145.jpg,RBC,1,82,72,160
4554,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00074.jpg,339.jpg,RBC,406,499,398,480
3967,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00315.jpg,294.jpg,RBC,239,354,3,107
4217,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00198.jpg,314.jpg,Platelets,261,295,394,434
1998,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00265.jpg,145.jpg,RBC,209,309,108,215
2967,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00010.jpg,215.jpg,RBC,311,394,179,266
3808,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00143.jpg,282.jpg,RBC,417,504,176,277
3302,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00019.jpg,244.jpg,RBC,231,317,251,336
4507,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00397.jpg,335.jpg,RBC,35,128,65,159
2158,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00390.jpg,156.jpg,RBC,202,341,112,259
4744,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00117.jpg,353.jpg,RBC,108,228,1,104
1106,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00355.jpg,78.jpg,RBC,433,507,50,139
2232,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00055.jpg,162.jpg,RBC,211,297,407,480
4136,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00111.jpg,308.jpg,RBC,229,342,31,129
4666,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00283.jpg,347.jpg,RBC,347,455,96,204
3910,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00278.jpg,290.jpg,RBC,270,387,93,197
3656,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00087.jpg,270.jpg,RBC,296,402,86,179
3766,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00063.jpg,279.jpg,RBC,210,303,203,301
1453,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00273.jpg,103.jpg,RBC,491,606,286,387
4478,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00279.jpg,334.jpg,RBC,287,394,293,395
3651,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00087.jpg,270.jpg,RBC,495,605,100,187
1293,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00243.jpg,92.jpg,RBC,418,511,150,250
3733,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00381.jpg,277.jpg,RBC,313,423,310,401
4590,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00407.jpg,342.jpg,RBC,248,345,346,441
515,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00281.jpg,39.jpg,RBC,529,640,265,373
1537,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00396.jpg,108.jpg,RBC,543,640,286,386
4334,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00029.jpg,323.jpg,RBC,1,79,194,318
4022,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00081.jpg,299.jpg,RBC,444,512,1,67
1597,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00059.jpg,112.jpg,RBC,405,525,191,282
980,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00369.jpg,69.jpg,RBC,159,270,137,243
2525,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00202.jpg,182.jpg,RBC,8,117,119,222
4861,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00106.jpg,362.jpg,RBC,281,372,246,339
266,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00004.jpg,21.jpg,RBC,391,469,373,455
4024,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00081.jpg,299.jpg,RBC,149,235,279,361
3246,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00124.jpg,240.jpg,RBC,529,602,319,415
4784,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00360.jpg,356.jpg,RBC,529,628,238,331
3538,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00032.jpg,262.jpg,RBC,86,215,323,437
2766,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00256.jpg,200.jpg,RBC,58,154,136,236
1662,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00241.jpg,118.jpg,RBC,377,482,204,315
3043,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00374.jpg,223.jpg,RBC,526,640,127,226
724,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00070.jpg,52.jpg,RBC,534,640,295,390
3445,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00012.jpg,256.jpg,RBC,377,483,210,314
402,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00053.jpg,31.jpg,RBC,446,533,269,404
3305,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00157.jpg,245.jpg,RBC,108,217,147,248
352,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00091.jpg,27.jpg,RBC,522,631,153,251
2857,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00038.jpg,207.jpg,RBC,265,359,186,290
2366,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00094.jpg,171.jpg,RBC,3,106,88,179
2043,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00028.jpg,148.jpg,RBC,119,220,1,68
568,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00046.jpg,42.jpg,RBC,1,85,83,189
2843,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00319.jpg,206.jpg,WBC,72,327,1,209
3257,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00101.jpg,241.jpg,RBC,484,591,128,230
4313,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00024.jpg,322.jpg,RBC,494,588,325,427
4763,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00141.jpg,354.jpg,WBC,57,345,278,480
2392,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00297.jpg,173.jpg,Platelets,315,357,1,36
434,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00226.jpg,34.jpg,RBC,210,332,274,382
825,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00245.jpg,58.jpg,WBC,77,281,154,357
1169,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00090.jpg,82.jpg,RBC,134,245,78,162
4167,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00332.jpg,311.jpg,RBC,440,550,296,414
3351,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00183.jpg,249.jpg,RBC,572,640,330,434
1868,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00207.jpg,134.jpg,RBC,199,291,69,173
22,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00383.jpg,1.jpg,Platelets,19,70,226,272
3466,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00078.jpg,257.jpg,RBC,65,168,37,149
3443,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00012.jpg,256.jpg,WBC,2,228,187,359
3405,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00033.jpg,253.jpg,RBC,303,394,238,359
4659,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00261.jpg,346.jpg,RBC,492,596,250,355
1812,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00110.jpg,129.jpg,RBC,83,171,206,284
2633,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00067.jpg,190.jpg,RBC,20,130,1,107
4203,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00198.jpg,314.jpg,RBC,268,377,5,100
4364,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00167.jpg,325.jpg,RBC,194,295,204,310
1470,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00189.jpg,104.jpg,RBC,203,334,350,456
2046,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00028.jpg,148.jpg,RBC,441,505,195,267
4722,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00209.jpg,351.jpg,RBC,191,296,281,376
1588,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00011.jpg,111.jpg,RBC,317,434,74,180
1996,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00265.jpg,145.jpg,RBC,75,146,295,386
106,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00395.jpg,8.jpg,RBC,90,202,412,478
3311,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00387.jpg,246.jpg,RBC,149,283,159,258
2467,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00107.jpg,178.jpg,RBC,11,94,89,177
4365,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00167.jpg,325.jpg,RBC,133,245,109,227
3700,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00305.jpg,274.jpg,RBC,407,539,400,480
3559,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00057.jpg,263.jpg,RBC,221,322,315,406
3461,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00012.jpg,256.jpg,RBC,299,381,431,480
1306,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00393.jpg,93.jpg,RBC,1,120,189,278
1021,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00075.jpg,72.jpg,RBC,251,353,252,360
672,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00386.jpg,49.jpg,RBC,197,297,72,163
848,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00237.jpg,60.jpg,RBC,1,92,1,103
2212,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00030.jpg,161.jpg,RBC,299,415,174,277
3235,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00098.jpg,239.jpg,RBC,63,155,43,154
2107,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00108.jpg,152.jpg,RBC,530,632,99,213
154,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00182.jpg,12.jpg,RBC,173,291,351,449
3288,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00019.jpg,244.jpg,WBC,107,295,97,267
3616,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00382.jpg,267.jpg,RBC,430,535,13,123
2480,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00125.jpg,179.jpg,RBC,453,538,291,383
1357,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00247.jpg,96.jpg,RBC,336,444,321,434
4339,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00029.jpg,323.jpg,RBC,207,300,1,51
360,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00331.jpg,28.jpg,RBC,182,289,281,370
1576,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00354.jpg,110.jpg,RBC,26,139,94,209
1031,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00140.jpg,73.jpg,RBC,489,615,259,362
4875,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00106.jpg,362.jpg,Platelets,249,288,406,447
2975,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00010.jpg,215.jpg,RBC,406,538,80,185
2147,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00228.jpg,155.jpg,RBC,28,137,255,361
2677,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00371.jpg,193.jpg,RBC,530,640,207,300
