 filename cell_type xmin xmax ymin ymax
79 6.jpg Platelets 192 236 36 79
80 6.jpg Platelets 149 191 78 117
81 6.jpg Platelets 544 600 213 267
82 6.jpg WBC 168 338 122 287
83 7.jpg RBC 524 640 279 385
84 7.jpg RBC 419 530 252 354
85 7.jpg RBC 542 640 134 242
86 7.jpg RBC 1 56 202 305
87 7.jpg RBC 214 325 148 262
88 7.jpg RBC 293 426 62 180
89 7.jpg RBC 448 553 394 480
90 7.jpg RBC 429 531 75 183
91 7.jpg RBC 104 218 221 331
92 7.jpg WBC 170 454 268 480
93 8.jpg RBC 25 127 90 209
94 8.jpg RBC 6 108 1 98
95 8.jpg RBC 109 232 1 77
96 8.jpg RBC 274 389 6 118
97 8.jpg RBC 364 479 173 289
98 8.jpg RBC 86 183 266 368
99 8.jpg RBC 1 96 314 424
100 8.jpg RBC 177 273 331 441
101 8.jpg RBC 283 380 306 406
102 8.jpg RBC 392 504 296 397
103 8.jpg RBC 501 613 370 471
104 8.jpg RBC 388 486 62 163
105 8.jpg RBC 233 324 412 479
106 8.jpg RBC 90 202 412 478
107 8.jpg WBC 114 351 66 294
108 8.jpg Platelets 472 540 201 268
109 8.jpg Platelets 470 516 43 84
110 9.jpg RBC 134 249 247 359
111 9.jpg RBC 356 471 62 174
112 9.jpg RBC 404 519 287 399
113 9.jpg RBC 324 397 178 295
114 9.jpg RBC 143 267 131 246
115 9.jpg RBC 276 383 364 472
116 9.jpg RBC 144 272 353 451
117 9.jpg RBC 498 613 211 323
118 9.jpg RBC 483 583 377 480
119 9.jpg RBC 325 441 1 73
120 9.jpg RBC 257 372 180 290
121 9.jpg RBC 66 188 349 446
122 9.jpg WBC 132 349 1 159
123 10.jpg RBC 430 539 111 205
124 10.jpg RBC 329 430 121 212
125 10.jpg RBC 393 494 366 457
126 10.jpg RBC 37 158 12 137
127 10.jpg RBC 262 409 1 111
128 10.jpg RBC 171 282 204 297
129 10.jpg RBC 225 304 312 395
130 10.jpg RBC 317 416 350 429
131 10.jpg RBC 507 626 323 436
132 10.jpg RBC 237 346 99 205
133 10.jpg RBC 420 521 18 129
134 10.jpg WBC 274 410 236 355
135 11.jpg RBC 74 179 301 404
136 11.jpg RBC 204 283 332 402
137 11.jpg RBC 1 69 259 369
138 11.jpg RBC 215 308 134 215
139 11.jpg RBC 364 472 1 83
140 11.jpg RBC 108 210 77 184
141 11.jpg RBC 472 610 1 95
142 11.jpg RBC 506 606 359 462
143 11.jpg RBC 558 640 216 340
144 11.jpg RBC 225 313 404 480
145 11.jpg RBC 532 640 108 213
146 11.jpg RBC 137 262 1 98
147 11.jpg RBC 361 486 348 446
148 11.jpg Platelets 66 110 424 468
149 11.jpg WBC 337 492 185 372
150 11.jpg Platelets 51 100 176 211
151 12.jpg RBC 161 286 75 185
152 12.jpg RBC 48 179 78 207
153 12.jpg RBC 516 637 183 296
154 12.jpg RBC 173 291 351 449
155 12.jpg RBC 47 165 361 459
156 12.jpg RBC 1 118 11 109
157 12.jpg RBC 439 580 10 132
158 12.jpg RBC 315 436 242 344
159 12.jpg RBC 519 624 378 472
160 12.jpg WBC 293 498 57 260
161 13.jpg RBC 9 109 249 357
162 13.jpg RBC 452 556 1 95
163 13.jpg RBC 109 210 272 357
164 13.jpg RBC 251 352 1 86
165 13.jpg RBC 218 323 389 480
166 13.jpg WBC 172 349 126 312
167 13.jpg Platelets 546 584 82 118
168 14.jpg RBC 397 547 165 278
169 14.jpg RBC 352 483 269 395
170 14.jpg RBC 284 395 375 480
171 14.jpg RBC 184 289 316 434
172 14.jpg RBC 146 251 229 347
173 14.jpg RBC 52 150 278 395
174 14.jpg RBC 100 238 133 228
175 14.jpg RBC 204 300 55 157
176 14.jpg RBC 394 504 38 130
177 14.jpg RBC 450 557 411 480
178 14.jpg WBC 25 264 1 113
179 15.jpg RBC 427 533 87 181
180 15.jpg RBC 399 506 169 270
181 15.jpg RBC 429 538 1 78
182 15.jpg RBC 39 144 95 201
183 15.jpg RBC 283 401 328 435
184 15.jpg RBC 418 536 260 367
185 15.jpg RBC 1 72 168 254
186 15.jpg RBC 22 146 283 377
187 15.jpg WBC 194 385 150 349
188 15.jpg Platelets 500 556 189 234
189 16.jpg RBC 242 347 222 325
190 16.jpg RBC 464 556 43 137
191 16.jpg RBC 531 631 186 288
192 16.jpg RBC 23 124 88 195
193 16.jpg RBC 377 478 234 341
194 16.jpg RBC 59 160 196 303
195 16.jpg RBC 289 393 1 86
196 16.jpg RBC 152 256 274 360
197 16.jpg RBC 320 429 387 480
198 16.jpg RBC 190 322 412 480
199 16.jpg RBC 64 170 365 480
200 16.jpg WBC 107 324 34 234
201 16.jpg WBC 306 460 102 246
202 16.jpg Platelets 604 637 385 417
203 17.jpg RBC 38 149 197 320
204 17.jpg RBC 31 143 73 174
205 17.jpg RBC 108 202 45 141
206 17.jpg RBC 378 472 136 232
207 17.jpg RBC 166 282 290 379
208 17.jpg RBC 42 158 391 480
209 17.jpg RBC 524 640 62 158
210 17.jpg RBC 243 373 203 319
211 17.jpg RBC 306 411 341 447
212 17.jpg RBC 516 633 158 263
213 17.jpg WBC 173 387 1 131
214 18.jpg RBC 404 511 253 356
215 18.jpg RBC 278 385 300 403
216 18.jpg RBC 501 608 170 273
217 18.jpg RBC 86 193 1 124
218 18.jpg WBC 255 406 187 321
219 18.jpg Platelets 507 566 265 334
220 19.jpg RBC 67 163 359 452
221 19.jpg RBC 339 435 387 480
222 19.jpg RBC 407 520 328 422
223 19.jpg RBC 444 544 229 321
224 19.jpg RBC 420 522 126 223
225 19.jpg RBC 352 440 202 302
226 19.jpg RBC 119 228 104 199
227 19.jpg RBC 287 402 74 188
228 19.jpg RBC 47 158 12 123
229 19.jpg RBC 185 308 1 111
230 19.jpg RBC 43 152 179 274
231 19.jpg RBC 1 109 218 313
232 19.jpg RBC 208 321 166 270
233 19.jpg RBC 479 594 21 135
234 19.jpg RBC 529 634 147 254
235 19.jpg RBC 525 630 373 480
236 19.jpg RBC 552 640 251 352
237 19.jpg RBC 305 407 1 79
238 19.jpg WBC 153 370 263 474
239 20.jpg RBC 445 545 41 138
240 20.jpg RBC 471 571 210 307
241 20.jpg RBC 1 100 1 97
242 20.jpg RBC 3 103 130 227
243 20.jpg RBC 63 163 267 364
244 20.jpg RBC 340 454 324 423
245 20.jpg RBC 526 637 212 340
246 20.jpg RBC 256 360 257 341
247 20.jpg RBC 336 437 127 217
248 20.jpg RBC 353 454 389 480
249 20.jpg Platelets 187 231 427 470
250 20.jpg Platelets 547 582 386 417
251 20.jpg Platelets 77 116 230 268
252 20.jpg Platelets 98 143 49 85
253 20.jpg Platelets 259 297 1 26
254 20.jpg WBC 92 329 45 266
255 21.jpg WBC 109 324 134 321
256 21.jpg RBC 432 528 242 325
257 21.jpg RBC 510 606 112 195
258 21.jpg RBC 482 594 361 475
259 21.jpg RBC 75 166 281 375
260 21.jpg RBC 38 147 1 62
261 21.jpg RBC 288 390 33 131
262 21.jpg RBC 411 527 66 185
263 21.jpg RBC 1 102 82 198
264 21.jpg RBC 1 81 283 372
265 21.jpg RBC 1 78 315 397
266 21.jpg RBC 391 469 373 455
267 21.jpg Platelets 127 163 47 81
268 22.jpg RBC 448 566 244 350
269 22.jpg RBC 238 333 215 310
270 22.jpg RBC 15 103 280 406
271 22.jpg RBC 239 353 70 167
272 22.jpg RBC 467 590 13 126
273 22.jpg RBC 412 520 130 236
274 22.jpg RBC 329 447 137 254
275 22.jpg RBC 355 474 385 480
276 22.jpg RBC 340 442 259 359
277 22.jpg RBC 174 274 138 233
278 22.jpg RBC 98 196 47 164
279 22.jpg RBC 102 192 156 277
280 22.jpg RBC 161 271 1 77
281 22.jpg WBC 79 307 296 480
282 22.jpg Platelets 536 574 102 140
283 22.jpg Platelets 507 543 120 155
284 23.jpg RBC 307 409 235 328
285 23.jpg RBC 330 442 133 227
286 23.jpg RBC 192 302 150 260
287 23.jpg RBC 254 366 1 93
288 23.jpg RBC 52 140 16 112
289 23.jpg RBC 27 136 253 344
290 23.jpg RBC 334 443 58 149
291 23.jpg RBC 252 359 317 418
292 23.jpg RBC 200 293 266 391
293 23.jpg RBC 477 590 165 238
294 23.jpg RBC 444 550 129 204
295 23.jpg WBC 400 547 370 480
296 24.jpg WBC 260 491 177 376
297 24.jpg RBC 78 184 336 435
298 24.jpg RBC 63 169 237 336
299 24.jpg RBC 214 320 362 461
300 24.jpg RBC 414 506 352 445
301 24.jpg RBC 555 640 356 455
302 24.jpg RBC 469 567 412 480
303 24.jpg RBC 1 87 333 437
304 24.jpg RBC 4 95 406 480
305 24.jpg RBC 155 247 74 174
306 24.jpg RBC 11 104 84 162
307 24.jpg RBC 534 639 39 139
308 24.jpg RBC 547 640 195 295
309 24.jpg RBC 388 481 11 111
310 24.jpg RBC 171 264 175 275
311 24.jpg RBC 260 374 1 83
312 24.jpg RBC 229 343 91 174
313 24.jpg RBC 69 184 144 235
314 24.jpg RBC 482 594 131 230
315 24.jpg RBC 368 464 89 176
316 25.jpg RBC 77 177 250 343
317 25.jpg RBC 183 270 297 391
318 25.jpg RBC 259 356 294 400
319 25.jpg RBC 434 541 292 392
320 25.jpg RBC 520 628 273 389
321 25.jpg RBC 42 143 383 473
322 25.jpg RBC 101 211 113 233
323 25.jpg RBC 2 103 112 202
324 25.jpg RBC 333 436 199 301
325 25.jpg RBC 429 531 160 247
326 25.jpg RBC 534 636 37 124
327 25.jpg RBC 38 149 11 112
328 25.jpg Platelets 377 421 425 470
329 25.jpg WBC 211 420 1 167
330 25.jpg Platelets 52 92 1 34
331 26.jpg RBC 233 338 368 452
332 26.jpg RBC 346 456 385 476
333 26.jpg RBC 241 351 73 164
334 26.jpg RBC 250 366 1 85
335 26.jpg RBC 106 226 315 428
336 26.jpg RBC 289 394 160 244
337 26.jpg RBC 350 455 109 193
338 26.jpg RBC 104 209 20 104
339 26.jpg RBC 1 108 221 322
340 26.jpg RBC 582 639 379 480
341 26.jpg RBC 457 562 372 456
342 26.jpg RBC 563 640 20 113
343 26.jpg RBC 304 400 262 387
344 26.jpg Platelets 239 291 275 321
345 26.jpg Platelets 121 189 260 320
346 26.jpg Platelets 57 104 119 167
347 26.jpg Platelets 1 29 286 327
348 26.jpg WBC 367 611 166 394
349 27.jpg RBC 185 294 138 236
350 27.jpg RBC 273 382 155 253
351 27.jpg RBC 430 539 227 325
352 27.jpg RBC 522 631 153 251
353 27.jpg RBC 325 434 254 352
354 27.jpg RBC 294 403 305 403
355 27.jpg RBC 347 456 28 126
356 27.jpg RBC 459 568 91 189
357 27.jpg RBC 330 439 372 470
358 27.jpg WBC 210 342 3 115
359 28.jpg RBC 124 240 195 294
360 28.jpg RBC 182 289 281 370
361 28.jpg RBC 180 287 279 368
362 28.jpg RBC 343 456 199 310
363 28.jpg RBC 424 549 277 379
364 28.jpg RBC 180 282 106 210
365 28.jpg RBC 238 329 352 451
366 28.jpg RBC 333 457 316 438
367 28.jpg RBC 436 520 107 208
368 28.jpg RBC 1 105 77 178
369 28.jpg RBC 1 82 157 264
370 28.jpg RBC 23 140 250 351
371 28.jpg RBC 516 628 70 168
372 28.jpg RBC 144 253 20 123
373 28.jpg WBC 244 459 1 196
374 29.jpg RBC 18 124 350 456
375 29.jpg RBC 511 617 209 315
376 29.jpg RBC 518 624 317 423
377 29.jpg RBC 385 491 43 149
378 29.jpg RBC 303 409 64 170
379 29.jpg RBC 90 196 147 253
380 29.jpg WBC 188 387 165 366
381 29.jpg Platelets 513 549 298 330
382 30.jpg RBC 81 194 18 115
383 30.jpg RBC 43 144 259 351
384 30.jpg RBC 347 448 355 447
385 30.jpg RBC 97 198 362 454
386 30.jpg RBC 195 297 167 277
387 30.jpg RBC 399 501 232 342
388 30.jpg RBC 536 638 274 384
389 30.jpg RBC 559 640 136 245
390 30.jpg RBC 66 153 136 241
391 30.jpg RBC 266 368 181 291
392 30.jpg RBC 254 356 268 378
393 30.jpg RBC 225 328 358 457
394 30.jpg WBC 285 509 30 238
395 30.jpg Platelets 477 523 411 440
396 31.jpg RBC 259 370 317 429
397 31.jpg RBC 95 234 343 454
398 31.jpg RBC 259 373 57 150
399 31.jpg RBC 559 640 1 87
400 31.jpg RBC 433 541 1 115
401 31.jpg RBC 553 640 115 250
402 31.jpg RBC 446 533 269 404
403 31.jpg RBC 392 479 125 260
404 31.jpg RBC 1 119 72 200
405 31.jpg RBC 529 640 278 390
406 31.jpg WBC 106 242 12 143
407 31.jpg Platelets 316 362 140 180
408 31.jpg Platelets 354 400 215 255
409 31.jpg RBC 70 181 221 333
410 32.jpg RBC 20 109 192 296
411 32.jpg RBC 314 423 277 371
412 32.jpg RBC 477 590 196 289
413 32.jpg RBC 488 601 303 408
414 32.jpg RBC 377 490 82 187
415 32.jpg RBC 112 207 56 148
416 32.jpg RBC 164 259 388 480
417 32.jpg RBC 397 492 366 458
418 32.jpg RBC 233 328 15 107
419 32.jpg RBC 319 428 249 343
420 32.jpg RBC 41 130 204 308
421 32.jpg WBC 118 372 141 353
422 32.jpg Platelets 121 166 359 404
423 33.jpg RBC 47 134 222 312
424 33.jpg RBC 51 138 46 136
425 33.jpg RBC 138 259 36 122
426 33.jpg RBC 277 383 36 126
427 33.jpg RBC 510 632 267 381
428 33.jpg RBC 469 556 62 165
429 33.jpg RBC 97 184 377 480
430 33.jpg RBC 500 640 377 477
431 33.jpg RBC 422 518 296 395
432 33.jpg WBC 195 434 287 480
433 34.jpg RBC 51 138 159 267
434 34.jpg RBC 210 332 274 382
435 34.jpg RBC 515 605 186 288
436 34.jpg RBC 423 528 161 265
437 34.jpg RBC 359 480 377 480
438 34.jpg RBC 254 378 409 480
439 34.jpg RBC 146 237 409 480
440 34.jpg RBC 69 148 424 480
441 34.jpg RBC 115 210 89 172
442 34.jpg RBC 209 319 1 83
443 34.jpg RBC 101 204 1 70
444 34.jpg RBC 355 458 1 70
445 34.jpg RBC 498 580 357 455
446 34.jpg RBC 384 478 286 378
447 34.jpg RBC 476 579 84 181
448 34.jpg WBC 210 390 79 268
449 34.jpg Platelets 26 96 277 340
450 35.jpg RBC 455 562 106 209
451 35.jpg RBC 490 597 249 352
452 35.jpg RBC 543 640 165 269
453 35.jpg RBC 568 640 323 428
454 35.jpg RBC 310 427 365 471
455 35.jpg RBC 298 418 46 157
456 35.jpg RBC 203 301 24 141
457 35.jpg RBC 394 491 1 107
458 35.jpg RBC 1 77 153 259
459 35.jpg RBC 1 67 379 480
460 35.jpg RBC 1 91 1 75
461 35.jpg RBC 95 210 1 93
462 35.jpg RBC 37 152 317 410
463 35.jpg WBC 188 398 161 368
464 35.jpg Platelets 287 316 406 444
465 36.jpg WBC 128 336 215 391
466 36.jpg RBC 406 514 176 272
467 36.jpg RBC 400 510 73 181
468 36.jpg RBC 215 299 87 187
469 36.jpg RBC 435 547 302 400
470 36.jpg RBC 424 536 354 452
471 36.jpg RBC 131 235 382 470
472 36.jpg RBC 481 585 164 252
473 36.jpg RBC 5 102 335 434
474 36.jpg RBC 1 53 101 205
475 36.jpg RBC 221 340 390 464
476 36.jpg RBC 156 260 1 84
477 36.jpg RBC 279 381 37 145
478 36.jpg RBC 528 621 1 87
479 36.jpg RBC 488 581 11 98
480 36.jpg RBC 4 106 245 353
481 36.jpg RBC 322 424 335 443
482 36.jpg Platelets 382 419 47 79
483 37.jpg RBC 262 366 151 245
484 37.jpg RBC 169 273 23 117
485 37.jpg RBC 496 584 178 248
486 37.jpg RBC 533 640 285 389
487 37.jpg RBC 84 193 366 442
488 37.jpg RBC 10 99 66 184
489 37.jpg RBC 365 485 151 268
490 37.jpg RBC 299 404 265 369
491 37.jpg RBC 573 640 1 70
492 37.jpg RBC 377 473 393 476
493 37.jpg RBC 11 102 324 410
494 37.jpg WBC 62 236 204 359
495 37.jpg WBC 257 288 430 457
496 38.jpg RBC 222 332 343 442
497 38.jpg RBC 329 439 360 459
498 38.jpg RBC 450 560 366 465
499 38.jpg RBC 524 640 259 373
500 38.jpg RBC 492 607 1 93
501 38.jpg RBC 342 458 100 217
502 38.jpg RBC 395 504 14 124
503 38.jpg RBC 1 66 331 446
504 38.jpg RBC 1 94 129 231
505 38.jpg RBC 395 489 185 287
506 38.jpg RBC 476 598 69 167
507 38.jpg WBC 126 387 113 295
508 39.jpg RBC 112 221 140 242
509 39.jpg RBC 79 176 45 148
510 39.jpg RBC 1 112 254 366
511 39.jpg RBC 111 222 345 454
512 39.jpg RBC 120 238 258 363
513 39.jpg RBC 232 349 52 186
514 39.jpg RBC 413 531 121 226
515 39.jpg RBC 529 640 265 373
516 39.jpg RBC 1 126 1 100
517 39.jpg RBC 522 617 73 197
518 39.jpg WBC 216 471 152 387
519 40.jpg RBC 65 165 42 177
520 40.jpg RBC 373 488 1 83
521 40.jpg RBC 227 346 3 107
522 40.jpg RBC 487 606 128 232
523 40.jpg RBC 175 294 288 392
524 40.jpg RBC 94 212 387 480
525 40.jpg RBC 311 420 351 465
526 40.jpg RBC 49 155 273 360
527 40.jpg RBC 165 273 77 185
528 40.jpg RBC 106 248 168 293
529 40.jpg RBC 466 575 397 480
530 40.jpg RBC 557 640 202 307
531 40.jpg WBC 253 466 143 351
532 40.jpg Platelets 70 108 15 53
533 41.jpg RBC 183 260 144 287
534 41.jpg RBC 129 249 40 141
535 41.jpg RBC 86 181 153 244
536 41.jpg RBC 56 164 233 332
537 41.jpg RBC 205 319 313 425
538 41.jpg RBC 256 362 211 309
539 41.jpg RBC 335 454 149 246
540 41.jpg RBC 10 125 329 453
541 41.jpg RBC 1 110 79 187
542 41.jpg RBC 334 426 40 152
543 41.jpg RBC 376 500 31 152
544 41.jpg RBC 498 603 257 361
545 41.jpg RBC 511 607 322 414
546 41.jpg RBC 474 571 121 210
547 41.jpg WBC 295 518 267 472
548 41.jpg Platelets 290 321 89 119
549 41.jpg Platelets 479 504 440 477
550 42.jpg WBC 312 453 1 92
551 42.jpg Platelets 47 99 237 281
552 42.jpg RBC 340 473 143 259
553 42.jpg RBC 245 358 129 233
554 42.jpg RBC 241 354 29 133
555 42.jpg RBC 138 251 294 398
556 42.jpg RBC 61 174 313 417
557 42.jpg RBC 157 262 391 480
558 42.jpg RBC 218 315 417 480
559 42.jpg RBC 1 109 417 480
560 42.jpg RBC 521 609 90 181
561 42.jpg RBC 479 567 109 200
562 42.jpg RBC 463 551 172 263
563 42.jpg RBC 499 587 189 280
564 42.jpg RBC 519 607 209 300
565 42.jpg RBC 532 640 239 337
566 42.jpg RBC 485 623 398 480
567 42.jpg RBC 106 213 22 120
568 42.jpg RBC 1 85 83 189
569 42.jpg RBC 7 112 1 91
570 42.jpg RBC 214 328 284 383
571 42.jpg RBC 338 415 296 383
572 42.jpg RBC 334 411 349 436
573 42.jpg RBC 269 377 387 480
574 43.jpg RBC 156 256 112 206
575 43.jpg RBC 168 270 374 477
576 43.jpg RBC 238 320 228 284
577 43.jpg RBC 456 564 161 251
578 43.jpg RBC 537 640 299 414
579 43.jpg RBC 61 185 63 145
580 43.jpg RBC 7 107 420 480
581 43.jpg Platelets 38 87 129 179
582 43.jpg Platelets 281 326 182 225
583 43.jpg Platelets 585 624 419 456
584 43.jpg Platelets 507 547 340 377
585 43.jpg WBC 15 209 181 362
586 44.jpg WBC 127 270 143 273
587 44.jpg WBC 287 437 364 480
588 44.jpg RBC 153 257 383 480
589 44.jpg RBC 47 151 358 455
590 44.jpg RBC 83 187 321 418
591 44.jpg RBC 332 436 153 250
592 44.jpg RBC 395 514 228 329
593 44.jpg RBC 520 631 396 480
594 44.jpg RBC 556 640 319 404
595 44.jpg RBC 522 630 254 342
596 44.jpg RBC 512 620 190 278
597 44.jpg RBC 534 640 58 181
598 44.jpg RBC 453 593 1 71
599 44.jpg Platelets 241 298 381 426
600 44.jpg Platelets 110 148 247 289
601 44.jpg Platelets 343 381 108 150
602 44.jpg Platelets 409 447 88 130
603 44.jpg RBC 301 405 211 308
604 44.jpg RBC 251 355 264 361
605 44.jpg RBC 27 141 1 98
606 44.jpg RBC 1 91 65 160
607 44.jpg RBC 57 148 62 157
608 44.jpg RBC 1 94 246 370
609 44.jpg RBC 407 493 193 269
610 45.jpg RBC 343 454 130 231
611 45.jpg RBC 329 440 262 363
612 45.jpg RBC 365 476 354 455
613 45.jpg RBC 143 254 75 176
614 45.jpg RBC 72 153 18 99
615 45.jpg RBC 142 243 250 349
616 45.jpg RBC 67 168 271 370
617 45.jpg RBC 130 235 348 440
618 45.jpg RBC 469 574 81 173
619 45.jpg RBC 444 566 254 355
620 45.jpg RBC 535 640 162 284
621 45.jpg RBC 348 453 7 99
622 45.jpg RBC 388 493 18 110
623 45.jpg RBC 529 634 327 419
624 45.jpg WBC 1 147 81 294
625 45.jpg Platelets 174 212 203 250
626 46.jpg RBC 185 321 297 404
627 46.jpg RBC 305 396 370 472
628 46.jpg RBC 477 582 354 459
629 46.jpg RBC 376 481 307 412
630 46.jpg RBC 392 497 208 313
631 46.jpg RBC 302 420 44 151
632 46.jpg RBC 185 303 108 231
633 46.jpg RBC 373 487 133 243
634 46.jpg RBC 177 298 1 109
635 46.jpg RBC 52 184 22 88
636 46.jpg RBC 530 640 65 147
637 46.jpg RBC 543 640 116 214
638 46.jpg RBC 501 596 1 67
639 46.jpg RBC 374 469 1 67
640 46.jpg WBC 1 192 163 366
641 46.jpg Platelets 161 205 320 364
642 47.jpg RBC 180 273 281 386
643 47.jpg RBC 246 339 343 448
644 47.jpg RBC 432 551 257 361
645 47.jpg RBC 521 640 203 307
646 47.jpg RBC 535 640 101 206
647 47.jpg RBC 332 443 279 402
648 47.jpg RBC 162 280 1 102
649 47.jpg RBC 55 173 66 168
650 47.jpg RBC 140 258 163 265
651 47.jpg RBC 1 117 270 372
652 47.jpg WBC 251 482 55 288
653 48.jpg WBC 242 457 117 332
654 48.jpg RBC 140 249 308 415
655 48.jpg RBC 96 205 362 469
656 48.jpg RBC 1 89 323 430
657 48.jpg RBC 79 212 212 317
658 48.jpg RBC 105 238 108 213
659 48.jpg RBC 463 596 104 209
660 48.jpg RBC 526 640 95 189
661 48.jpg RBC 529 640 204 318
662 48.jpg RBC 464 575 312 426
663 48.jpg RBC 332 457 314 428
664 48.jpg RBC 255 380 322 436
665 48.jpg RBC 264 387 392 480
666 48.jpg RBC 12 123 106 207
667 48.jpg RBC 538 639 1 85
668 48.jpg Platelets 428 473 11 50
669 48.jpg Platelets 489 534 46 85
670 48.jpg Platelets 48 93 206 245
671 49.jpg RBC 1 106 305 423
672 49.jpg RBC 197 297 72 163
673 49.jpg RBC 288 394 352 470
674 49.jpg RBC 467 592 235 356
675 49.jpg RBC 443 543 390 479
676 49.jpg RBC 443 541 32 140
677 49.jpg RBC 532 640 20 145
678 49.jpg RBC 449 575 150 248
679 49.jpg RBC 320 446 1 98
680 49.jpg RBC 324 450 93 191
681 49.jpg RBC 329 455 195 293
682 49.jpg RBC 115 241 307 405
683 49.jpg RBC 154 274 405 480
684 49.jpg RBC 1 123 102 213
685 49.jpg WBC 153 377 159 385
686 50.jpg RBC 26 124 293 386
687 50.jpg RBC 293 416 345 449
688 50.jpg RBC 519 640 189 315
689 50.jpg RBC 480 601 27 153
690 50.jpg RBC 402 510 1 78
691 50.jpg RBC 327 429 250 343
692 50.jpg RBC 414 549 275 377
693 50.jpg RBC 554 640 342 443
694 50.jpg RBC 3 99 391 480
695 50.jpg RBC 72 174 19 130
696 50.jpg RBC 144 273 189 305
697 50.jpg RBC 122 237 319 413
698 51.jpg RBC 525 634 356 462
699 51.jpg RBC 432 541 339 445
700 51.jpg RBC 131 224 361 465
701 51.jpg RBC 309 428 280 401
702 51.jpg RBC 359 478 196 317
703 51.jpg RBC 390 501 1 113
704 51.jpg RBC 473 572 200 297
705 51.jpg RBC 47 154 93 204
706 51.jpg RBC 57 179 290 390
707 51.jpg RBC 206 311 279 374
708 51.jpg RBC 216 321 385 480
709 51.jpg RBC 114 219 26 137
710 51.jpg RBC 192 291 1 92
711 51.jpg Platelets 518 551 147 192
712 51.jpg Platelets 427 482 140 192
713 51.jpg Platelets 112 153 207 252
714 51.jpg Platelets 114 152 174 209
715 51.jpg WBC 184 396 65 260
716 52.jpg RBC 119 233 394 479
717 52.jpg RBC 187 301 1 85
718 52.jpg RBC 501 607 230 326
719 52.jpg RBC 520 626 384 480
720 52.jpg RBC 299 414 175 281
721 52.jpg RBC 96 211 21 127
722 52.jpg RBC 45 160 119 225
723 52.jpg RBC 47 155 263 386
724 52.jpg RBC 534 640 295 390
725 52.jpg RBC 429 535 140 235
726 52.jpg WBC 167 296 83 206
727 52.jpg WBC 375 471 348 439
728 53.jpg RBC 440 563 347 450
729 53.jpg RBC 274 388 179 258
730 53.jpg RBC 340 441 261 366
